Date,NewCase,CumCases,NewDeaths,Deaths
09/05/2020,11854.7479326524,3397069.885074644,303.55312330642045,33878.021922314576
10/05/2020,11158.525169691049,3408228.4102443345,284.40267461176705,34162.42459692634
11/05/2020,10503.158550945023,3418731.568795279,266.1571934278941,34428.581790354234
12/05/2020,9893.223496959268,3428624.792292238,250.16503396934488,34678.74682432358
13/05/2020,9325.950708241007,3437950.7430004794,236.52362057847068,34915.27044490205
14/05/2020,8794.161713701204,3446744.904714181,224.2555259921276,35139.52597089418
15/05/2020,8290.639213717384,3455035.543927898,212.25857014726023,35351.78454104144
16/05/2020,7811.479071129689,3462847.022999028,200.20086203992284,35551.98540308136
17/05/2020,7356.441788085269,3470203.4647871135,188.30429092906593,35740.289694010426
18/05/2020,6927.114849799603,3477130.5796369133,176.97813942981128,35917.26783344024
19/05/2020,6524.355555515289,3483654.9351924285,166.54079847525594,36083.80863191549
20/05/2020,6147.007304190667,3489801.9424966197,157.05679129823613,36240.86542321373
21/05/2020,5792.467113244185,3495594.409609864,148.31831800213251,36389.18374121586
22/05/2020,5457.990793094972,3501052.400402959,140.0445415606627,36529.22828277652
23/05/2020,5141.676330656452,3506194.0767336152,132.05249049122224,36661.28077326775
24/05/2020,4842.652417018635,3511036.729150634,124.34463873465393,36785.625412002395
25/05/2020,4560.631646849857,3515597.360797484,117.02774693305439,36902.65315893544
26/05/2020,4295.287318153654,3519892.6481156372,110.18748752317137,37012.84064645861
27/05/2020,4045.8766467773794,3523938.5247624144,103.83210523479511,37116.672751693404
28/05/2020,3811.257490636437,3527749.782253051,97.90221253686173,37214.57496423027
29/05/2020,3590.1929990882527,3531339.9752521394,92.3140333353285,37306.88899756559
30/05/2020,3381.65338743594,3534721.628639575,87.00486680835715,37393.893864373946
31/05/2020,3184.9172320855464,3537906.54587166,81.95369368554555,37475.84755805949
01/06/2020,2999.474281851188,3540906.0201535113,77.17118610666417,37553.01874416615
02/06/2020,2824.8547693256073,3543730.8749228367,72.67366394303033,37625.69240810918
03/06/2020,2660.512992006628,3546391.3879148434,68.4597880543198,37694.1521961635
04/06/2020,2505.816460711145,3548897.2043755543,64.50765669205285,37758.65985285555
05/06/2020,2360.1118947514137,3551257.316270306,60.78660336861174,37819.44645622416
06/06/2020,2222.8038231991136,3553480.120093505,57.27070389424938,37876.717160118416
07/06/2020,2093.3928551871822,3555573.512948692,53.94523101804567,37930.66239113647
08/06/2020,1971.4598334354187,3557544.972782127,50.80478080370661,37981.46717194019
09/06/2020,1856.6217190370435,3559401.5945011643,47.84678159524735,38029.313953535435
10/06/2020,1748.4949291829128,3561150.089430347,45.06570110683752,38074.379654642275
11/06/2020,1646.6858501803263,3562796.7752805273,42.4510728699952,38116.83072751227
12/06/2020,1550.8047943565277,3564347.5800748845,39.98955110886773,38156.82027862113
13/06/2020,1460.4863813436739,3565808.066456228,37.668589280715004,38194.48886790184
14/06/2020,1375.401057591364,3567183.4675138197,35.478740416189865,38229.96760831804
15/06/2020,1295.2528439242717,3568478.720357744,33.41356664491512,38263.38117496296
16/06/2020,1219.7682478299546,3569698.4886055742,31.467989060934364,38294.8491640239
17/06/2020,1148.6852645896618,3570847.1738701635,29.636606222809682,38324.48577024671
18/06/2020,1081.748708136144,3571928.9225783,27.91299754545632,38352.39876779217
19/06/2020,1018.7122422878507,3572947.6348205875,26.2900986705053,38378.688866462675
20/06/2020,959.343203545202,3573906.978024133,24.76107118719952,38403.44993764987
21/06/2020,903.425808126831,3574810.40383226,23.319984552703538,38426.769922202584
22/06/2020,850.7607848112222,3575661.1646170714,21.961923847848247,38448.73184605043
23/06/2020,801.162349642846,3576462.326966714,20.682615483869363,38469.4144615343
24/06/2020,754.4548034686372,3577216.7817701823,19.477948688760925,38488.89241022306
25/06/2020,710.4705633792955,3577927.252333562,18.34371597957606,38507.23612620263
26/06/2020,669.0500190469081,3578596.3023526086,17.27565537617574,38524.51178157881
27/06/2020,630.0423765629006,3579226.3447291716,16.269661196791123,38540.78144277561
28/06/2020,593.3063183397858,3579819.651047511,15.321971085538594,38556.10341386115
29/06/2020,558.7098050004595,3580378.3608525116,14.429214992443503,38570.532628853594
30/06/2020,526.1291086528078,3580904.489961164,13.588331903903425,38584.1209607575
01/07/2020,495.4476360087108,3581399.9375971733,12.796438740564145,38596.91739949806
02/07/2020,466.55506974375,3581866.492666917,12.050741083936853,38608.968140581994
03/07/2020,439.3470066998814,3582305.839673617,11.348522158830756,38620.31666274083
04/07/2020,413.7249226109976,3582719.5645962274,10.687186500050741,38631.00384924088
05/07/2020,389.59615884410505,3583109.1607550713,10.064308108430856,38641.068157349306
06/07/2020,366.8737211147556,3583476.034476186,9.477646289907169,38650.54580363921
07/07/2020,345.475874268863,3583821.510350455,8.925124647178343,38659.470928286384
08/07/2020,325.32566010365156,3584146.836010559,8.404793180000386,38667.87572146638
09/07/2020,306.350484269458,3584453.1864948287,7.914797677970604,38675.79051914435
10/07/2020,288.4818398752597,3584741.6683347034,7.453368779982624,38683.243887924335
11/07/2020,271.65513882294886,3585013.323473526,7.018827375140884,38690.262715299476
12/07/2020,255.8095732560833,3585269.133046783,6.60959412918095,38696.872309428654
13/07/2020,240.88794389393345,3585510.0209906767,6.224192359816951,38703.09650178847
14/07/2020,226.83644048935105,3585736.8574311663,5.8612411780850495,38708.957742966544
15/07/2020,213.6044015050911,3585950.461832672,5.519443048025824,38714.47718601456
16/07/2020,201.1440916331379,3586151.605924305,5.197572266362695,38719.674758280926
17/07/2020,189.41051939043643,3586341.016443696,4.894468397663607,38724.56922667859
18/07/2020,178.36129159636036,3586519.3777352925,4.609034515317266,38729.178261193905
19/07/2020,167.95648566087888,3586687.3342209533,4.34023733307831,38733.51849852697
20/07/2020,158.1585212049953,3586845.492742158,4.087106201940914,38737.60560472892
21/07/2020,148.93202409616512,3586994.4247662537,3.848729728902465,38741.45433445781
22/07/2020,140.2436878915197,3587134.668454145,3.6242507632741696,38745.07858522108
23/07/2020,132.06214245488292,3587266.7305966,3.412861397437749,38748.491446618515
24/07/2020,124.35783646096093,3587391.0884330613,3.213799219834663,38751.705245838355
25/07/2020,117.10293399301715,3587508.1913670544,3.026344998331692,38754.73159083669
26/07/2020,110.2712206062469,3587618.462587661,2.8498211286696544,38757.58141196536
27/07/2020,103.83801354783606,3587722.3006012095,2.6835900134980717,38760.26500197886
28/07/2020,97.78007343115642,3587820.08067464,2.5270519333684427,38762.792053912235
29/07/2020,92.07551792442106,3587912.1561925644,2.379642507943042,38765.17169642017
30/07/2020,86.70373971429788,3587998.859932279,2.24083014817226,38767.41252656834
31/07/2020,81.64533058783394,3588080.5052628666,2.110113855400032,38769.52264042373
01/08/2020,76.88201187595828,3588157.3872747426,1.9870214679224496,38771.50966189166
02/08/2020,72.39657009316092,3588229.783844836,1.8711082134383248,38773.3807701051
03/08/2020,68.17279621293005,3588297.956641049,1.7619553434100073,38775.1427254485
04/08/2020,64.19542757184118,3588362.152068621,1.659168704310519,38776.80189415282
05/08/2020,60.450092264366944,3588422.6021608855,1.5623772415196493,38778.36427139434
06/08/2020,56.923256445809294,3588479.5254173316,1.4712315274929995,38779.83550292183
07/08/2020,53.60217496381729,3588533.1275922954,1.3854024116720907,38781.2209053335
08/08/2020,50.47484536780766,3588583.602437663,1.3045798303803406,38782.52548516389
09/08/2020,47.52996495428192,3588631.1324026175,1.228471747955182,38783.753956911845
10/08/2020,44.75689034974798,3588675.889292967,1.1568031696487735,38784.9107600815
11/08/2020,42.14559924063271,3588718.034892208,1.0893151801731022,38786.00007526167
12/08/2020,39.686654086973576,3588757.721546295,1.0257639972622594,38787.02583925893
